,Scores,Steps
0,-120.572338945832,81
1,-126.0939918714323,63
2,-120.13755994777395,92
3,-117.2136750043817,64
4,-290.12817770998697,77
5,-426.06187617674533,90
6,-562.9235634687557,170
7,-83.56950808834067,69
8,-13.362013764715968,117
9,-368.26928886948957,73
10,-352.77013837913603,81
11,-322.61838237055423,73
12,-400.1992167560705,150
13,-206.40636288625348,113
14,-122.31822955190385,177
15,-401.6637187113507,142
16,-103.0666368421296,203
17,-93.65509745882248,121
18,-89.69056373011746,106
19,-177.34631100335437,173
20,-143.12979534788556,143
21,-138.2750734995141,156
22,-20.62476314576196,233
23,1.0575265157181946,172
24,-104.18294030076443,267
25,-226.3914124273685,356
26,-192.67250170600585,198
27,-186.12554370521767,507
28,-105.61284783321028,401
29,-205.13503225007503,303
30,-383.6735992742837,629
31,-150.09630369802903,497
32,-91.02705909287934,1000
33,-32.82230726800566,254
34,-300.97037100901593,966
35,-97.00175206247198,644
36,-131.73101595280784,820
37,-92.21809619147584,789
38,-18.748301601904103,639
39,-142.27994057907114,939
40,-57.01760539332735,1000
41,-42.85099105358134,1000
42,-64.07050224833014,1000
43,-27.93330785351158,1000
44,-42.93108188176757,1000
45,-1.1557791840328449,1000
46,-45.19884302112313,1000
47,-2.6398119194919794,1000
48,-9.364334475448373,1000
49,-76.56026553127087,1000
50,-57.43789020943123,1000
51,11.652789149575474,1000
52,-49.63502825884379,1000
53,-95.75338695713849,1000
54,-87.39443157543889,894
55,-93.57794731602452,798
56,1.0593520957536842,1000
57,-131.4753455113384,949
58,-108.35091724819083,734
59,-69.38121444128915,1000
60,-201.59599422240638,796
61,20.816699807161672,1000
62,-61.96598570917739,709
63,-44.618620072439406,869
64,-63.569261089541506,1000
65,-48.136065002485005,1000
66,-30.532645223520717,1000
67,-0.948269973363177,1000
68,-263.62918468895646,851
69,-51.6063921295546,1000
70,-37.48970872471774,1000
71,-32.42672626852411,1000
72,-65.46716368929683,1000
73,29.445082942939372,1000
74,-36.221970332051306,1000
75,-3.0378233249206534,1000
76,-34.19036255677572,1000
77,10.29714559969892,1000
78,-106.62639953584923,809
79,123.27299731888819,886
80,-25.170081651896584,1000
81,-32.99092283590248,1000
82,-17.2856620917128,1000
83,53.95826834751942,1000
84,-8.922366980128343,1000
85,10.278380062725377,1000
86,16.91943203957249,1000
87,-71.77628688663083,1000
88,-46.66897643588403,1000
89,39.26718879560881,1000
90,-11.735754594317767,1000
91,1.2248973680365811,1000
92,15.467606211446457,1000
93,-145.55364452875324,955
94,-7.556799666075737,1000
95,-52.97806706107442,1000
96,18.34215572028522,1000
97,25.983402023774467,1000
98,-49.86504013461018,1000
99,27.92314172599818,1000
100,43.09638443399202,1000
101,-29.264988039845676,1000
102,22.533152728614546,1000
103,110.57427050482876,903
104,10.219293499530284,1000
105,-65.4764887937699,1000
106,0.1123106928161588,1000
107,-52.18822878313848,1000
108,-20.22560802224256,1000
109,43.52657040387319,1000
110,7.112013548392478,1000
111,-0.772646141483099,1000
112,-111.52359725888861,1000
113,-14.513403426219838,1000
114,10.13871253307931,1000
115,35.03690451520455,1000
116,14.50988988039079,1000
117,5.1853667709504965,1000
118,11.60441718220909,1000
119,44.85470378062871,1000
120,9.110900678294527,1000
121,-10.414527229976866,1000
122,9.199595988977183,1000
123,12.506051619241118,1000
124,15.923600776285564,1000
125,16.016441169153506,1000
126,49.71191600347329,1000
127,29.407468054060498,1000
128,-13.722714927237956,1000
129,70.11262556504894,1000
130,-44.667433568718494,1000
131,5.245350673067188,1000
132,-21.430739701698656,1000
133,60.92294372774103,1000
134,-18.17574861068033,1000
135,-13.440212533013232,1000
136,7.328496459337277,1000
137,23.53887971049766,1000
138,55.70844709583464,1000
139,34.09371288492947,1000
140,38.02665526696217,1000
141,12.714614313611062,1000
142,34.70773197394987,1000
143,9.018100904723125,1000
144,-1.7235423352890873,1000
145,6.164703477357566,1000
146,21.969768831003353,1000
147,25.5586104340302,1000
148,3.773286545284146,1000
149,10.628691730212758,1000
150,9.33834236504544,1000
151,57.2374964169077,1000
152,36.84737040447366,1000
153,13.88393817629308,1000
154,56.26857197831312,1000
155,29.22021971662802,1000
156,21.29291817671559,1000
157,-5.253196527073553,1000
158,2.9708414711506768,1000
159,-47.7081554779217,1000
160,14.003109556752028,1000
161,-10.05386180061755,1000
162,70.45539601255877,124
163,-4.291435366075172,1000
164,3.5212514587977264,1000
165,-1.4181852349667867,1000
166,-8.621461848174894,1000
167,-20.116808163867496,1000
168,42.8524802117415,1000
169,-19.09390316285556,1000
170,-20.78178002145293,1000
171,-16.19951735813753,1000
172,-24.597471212293755,1000
173,13.848286349313264,1000
174,-18.935128787261654,1000
175,15.068313763971892,1000
176,20.642209421809863,1000
177,14.403894627465444,1000
178,16.413922991087105,1000
179,0.4264769075253225,1000
180,13.524938503806677,1000
181,32.13480868893258,1000
182,-34.09357756380045,1000
183,-18.30550044393359,1000
184,38.207720831200106,1000
185,-43.75656021333735,1000
186,17.034610644426028,1000
187,19.53957937878084,1000
188,-26.426340159343003,1000
189,22.08488729188758,1000
190,31.03047957611556,1000
191,-42.984052397768785,1000
192,33.4368781172718,1000
193,17.38883815365644,1000
194,-10.46306039534151,1000
195,-26.80671476043623,1000
196,26.734192345016194,1000
197,11.221389367213877,1000
198,-7.972989655831584,1000
199,-4.2659516902478565,1000
200,-13.41192804822348,1000
201,-16.473510201756326,1000
202,-10.529119729929702,1000
203,11.215250878833483,1000
204,31.01573391229954,1000
205,62.172171885987275,1000
206,-3.915711232700196,1000
207,12.755222278760813,1000
208,-11.773447643482168,1000
209,-21.316855171836846,1000
210,-26.973470668802413,1000
211,17.904549136562423,1000
212,4.3512693979010315,1000
213,3.826475806496845,1000
214,12.607575408129058,1000
215,18.533247300464144,1000
216,-27.683090707025855,1000
217,-15.28954657494903,1000
218,-5.073652041004502,1000
219,31.242474548634465,1000
220,-15.211447872205266,1000
221,-13.697449371379635,1000
222,-0.6352580231892944,1000
223,-4.118093530844765,1000
224,29.259064397947963,1000
225,-31.03775519106059,1000
226,-2.363483750747096,1000
227,11.284680912924433,1000
228,-27.439988916556576,1000
229,-20.18044838550898,1000
230,6.165176350038637,1000
231,-2.151531072041837,1000
232,-2.8466851393666355,1000
233,29.583210085440612,1000
234,8.660827943818738,1000
235,27.006376103229314,1000
236,22.268963612910234,1000
237,43.79014183691816,1000
238,249.89997525135269,270
239,24.570161545429723,1000
240,-33.907021246383096,1000
241,17.30348237673178,1000
242,-3.0240653674237388,1000
243,-1.358759757289579,1000
244,-6.804468925707788,1000
245,-49.76692080621812,1000
246,-27.159849503951914,1000
247,0.9410219526006314,1000
248,-45.11344659402145,1000
249,36.79328728149009,1000
250,68.75712023650507,1000
251,-15.557870855753817,1000
252,-23.409612855623337,1000
253,-6.554074480892458,1000
254,-0.6992502882763263,1000
255,-15.79928188943314,1000
256,-16.549068149248445,1000
257,10.149634578964047,1000
258,1.6562883823986039,1000
259,2.9529035877829743,1000
260,7.3805746520808455,1000
261,-37.322856054083545,1000
262,9.954625252268686,1000
263,42.392020596971776,1000
264,7.30973549518645,1000
265,37.371732606447026,1000
266,-0.521969484597002,1000
267,-3.5517470421343766,1000
268,25.936922608819632,1000
269,9.464457039299521,1000
270,18.157067095299084,1000
271,7.203038373275989,1000
272,12.535712056807519,1000
273,-28.386013311923975,1000
274,-48.08642871246967,1000
275,-20.84147081097627,1000
276,-16.51482928387191,1000
277,-29.99739950749192,1000
278,-11.401478478654656,1000
279,-26.98876096342368,1000
280,-0.2945596960752789,1000
281,8.55362429761598,1000
282,7.695223929219676,1000
283,10.923507719001044,1000
284,10.560893391985305,1000
285,-19.945196419780572,1000
286,32.78458302613003,1000
287,-27.30258306195389,1000
288,-38.420644827027274,1000
289,8.075473453543502,1000
290,-5.098280669609498,1000
291,-13.728277444405727,1000
292,-24.75219609283542,1000
293,-24.826577029442888,1000
294,23.022726196762417,1000
295,-13.596834157764405,1000
296,23.290441530826033,1000
297,-1.4584030628514602,1000
298,-16.358424758198243,1000
299,-50.05898847170396,1000
300,6.2456223672222,1000
301,-50.2828918539153,1000
302,-26.891993863143924,1000
303,-23.940580098833653,1000
304,1.2129752243995209,1000
305,-7.874018361857122,1000
306,-9.90975950945997,1000
307,7.713909411112109,1000
308,7.071926608098564,1000
309,-53.109664206178444,1000
310,16.873261692163283,1000
311,-11.48834374062599,1000
312,-6.440839222241388,1000
313,24.342578039995153,1000
314,-13.27086336373435,1000
315,-19.219672069416205,1000
316,57.14126529621012,128
317,8.09781687457056,1000
318,-21.25082178717587,1000
319,11.537807563639342,1000
320,15.018495468941946,1000
321,-29.796632552343603,1000
322,1.3074856030966113,1000
323,17.202489866750966,1000
324,-42.323979388330244,1000
325,-8.368367970893312,1000
326,-1.2012211129941333,1000
327,26.408850855440296,1000
328,-9.240937854383036,1000
329,28.028668513550393,1000
330,-26.141088449477145,1000
331,36.029182060730406,1000
332,12.15356560361101,1000
333,-26.210342034387136,1000
334,9.68697843058608,1000
335,-36.58325684921424,1000
336,6.922168775327307,1000
337,-30.476030662395132,1000
338,-24.54952385332577,1000
339,2.292129006523945,1000
340,28.048538611683703,1000
341,21.23255212321962,1000
342,-15.88400076590922,1000
343,-18.201433781027475,1000
344,18.83191872111784,1000
345,-26.097371731348204,1000
346,-2.6103449731560966,1000
347,39.34586650055296,1000
348,7.7978948365998555,1000
349,17.77944334933981,1000
350,10.175784588632133,1000
351,18.165051289445163,1000
352,20.283229937110313,1000
353,39.92024528433817,1000
354,4.5867760376681845,1000
355,-30.67070077250944,1000
356,-5.823572903705582,1000
357,-7.519830977076787,1000
358,-22.51377974076841,1000
359,1.4155862854426746,1000
360,12.811395652666485,1000
361,-3.020772242255689,1000
362,-23.876575709969963,1000
363,-35.06392235476197,1000
364,-21.604388492102853,1000
365,28.55477399099016,1000
366,-48.37641366128872,1000
367,4.408307539005693,1000
368,-33.15026001420682,1000
369,17.455442420388508,1000
370,-7.632609469788779,1000
371,-16.518712390916168,1000
372,10.50225691750842,1000
373,-36.18493337900298,1000
374,-2.8375622453741136,1000
375,-15.765348182686662,1000
376,-46.044968907183055,1000
377,-26.425070695144715,1000
378,-23.664160460062284,1000
379,-26.629893753760154,1000
380,-6.322863189121453,1000
381,-7.946693278935062,1000
382,-23.053895470238864,1000
383,6.986717749761313,1000
384,44.11788481006614,1000
385,13.03205167093611,1000
386,37.81509854619773,1000
387,-36.130123179997426,1000
388,1.0974701877868656,1000
389,-14.50414228433523,1000
390,-11.571348838206937,1000
391,-2.169380663691758,1000
392,13.737570111955748,1000
393,-3.681063020350242,1000
394,-16.142161651420928,1000
395,-8.684903949263543,1000
396,-1.397982607520984,1000
397,6.7354630996598,1000
398,1.1667856230717266,1000
399,-2.1689185296594955,1000
400,2.51558054460226,1000
401,10.509992286414615,1000
402,-1.7239955453848228,1000
403,26.74868586415896,1000
404,-42.43152539327098,1000
405,-21.72281384136049,1000
406,3.971943595675138,1000
407,-6.2424036795510105,1000
408,-9.171346623446931,1000
409,23.83696733248007,1000
410,-39.74493311600108,1000
411,-34.175512055924585,1000
412,15.191480426911433,1000
413,-35.182288959784344,1000
414,-0.380297589824137,1000
415,-40.37930933536021,1000
416,20.367917007276585,1000
417,-3.0139841887937044,1000
418,6.042862554271336,1000
419,8.908282064683387,1000
420,-28.64306410292207,1000
421,0.20820495286716856,1000
422,-16.84411049598598,1000
423,-19.187898530947983,1000
424,-7.229969215585099,1000
425,-27.865682268037958,1000
426,-54.081476157963536,1000
427,-28.851029811672568,1000
428,-10.654667637172869,1000
429,10.413790834319057,1000
430,-14.482068929100855,1000
431,-4.424920057911266,1000
432,-20.784728244078856,1000
433,-6.931110452592784,1000
434,15.467813854151348,1000
435,-7.908501359541809,1000
436,0.3711344283223159,1000
437,0.9402260630548773,1000
438,-12.834487175597992,1000
439,1.8459850974673042,1000
440,19.22401546012609,1000
441,-30.920226377874233,1000
442,-53.39925323251104,1000
443,-34.142324894030786,1000
444,38.00553534580747,1000
445,7.595198415036671,1000
446,-37.01806406078164,1000
447,-4.290462066138427,1000
448,29.632917441950973,1000
449,-2.043024428632327,1000
450,-7.673458261085202,1000
451,23.85775767716703,1000
452,-18.23168484757801,1000
453,-36.69093081085346,1000
454,17.68341701564451,1000
455,23.15768548318418,1000
456,14.84456154539904,1000
457,19.868242437646785,1000
458,-5.8475374225094185,1000
459,-14.881308031644418,1000
460,5.4050045038878505,1000
461,-28.873697884020327,1000
462,-16.73783529416588,1000
463,-5.066101344525504,1000
464,-17.615628778056752,1000
465,-3.6101775450104316,1000
466,-20.12768767724244,1000
467,-40.65174238158693,1000
468,4.411273799440999,1000
469,19.21763967254492,1000
470,-11.792527100073201,1000
471,-7.210540502329256,1000
472,-12.736434877487449,1000
473,-8.75977578670246,1000
474,-20.713789246828753,1000
475,-45.19756877131272,1000
476,-12.837901181820127,1000
477,17.78827833692113,1000
478,-37.44865658286772,1000
479,17.131378116445553,1000
480,32.43357834148853,1000
481,14.800956187451145,1000
482,25.33172417756431,1000
483,-18.38728661321894,1000
484,-40.93142477855447,1000
485,26.83903852584011,1000
486,11.871771716087675,1000
487,-23.867852929513333,1000
488,-23.908893991566067,1000
489,-7.768040461753248,1000
490,2.681217176897831,1000
491,-40.26629655342151,1000
492,-46.64282915811756,1000
493,-12.220696194946226,1000
494,-22.366798672907226,1000
495,12.00614103852154,1000
496,-32.129346840319286,1000
497,8.726982092059133,1000
498,-48.13461982847221,1000
499,-29.83664643256143,1000
500,-23.682474107270853,1000
501,-12.199117362434565,1000
502,-16.524087279264535,1000
503,-6.063065642502428,1000
504,9.481319906624904,1000
505,-16.071570899210236,1000
506,-0.8404098968867371,1000
507,6.025627331222728,1000
508,-39.513621342383246,1000
509,-43.00052975927664,1000
510,5.251352166625837,1000
511,39.63672744957869,1000
512,-25.009920954442457,1000
513,48.01279165990589,1000
514,41.68439732709019,1000
515,27.815473060168834,1000
516,-10.17555583070901,1000
517,-20.144718405333563,1000
518,5.417712941789628,1000
519,-3.1128958826935786,1000
520,-25.92196622545418,1000
521,8.95069932253206,1000
522,-9.763132378642961,1000
523,39.711218704045734,1000
524,-42.71227564336627,1000
525,27.037601895100185,1000
526,6.618931063402964,1000
527,-24.646736856990806,1000
528,-18.312357355848317,1000
529,15.611300448846793,1000
530,16.567799347557656,1000
531,-12.819879204750329,1000
532,-7.62024934835584,1000
533,12.9762378489891,1000
534,-0.9800988796736781,1000
535,7.061371245198714,1000
536,-43.16512288113468,1000
537,-32.10019886092792,1000
538,2.702900617148293,1000
539,36.109819962388784,1000
540,-25.943172842462957,1000
541,-8.894399884540094,1000
542,-20.648110902567907,1000
543,4.455435306928651,1000
544,-14.801106242893608,1000
545,-6.240711355625306,1000
546,-16.591552996800615,1000
547,10.37975522617818,1000
548,-34.22023476895627,1000
549,14.615523773085906,1000
550,20.465691608241222,1000
551,6.611248893654574,1000
552,-17.61145436321802,1000
553,39.87021883952884,1000
554,10.086754525367876,1000
555,33.0728767711604,1000
556,11.024945989395922,1000
557,-5.7562613683415265,1000
558,3.251643270956733,1000
559,18.96009008064925,1000
560,-21.204214174976965,1000
561,15.652141048772638,1000
562,13.287830648350376,1000
563,-19.573507270396902,1000
564,11.336327266120533,1000
565,5.907645775728903,1000
566,-3.801226565126298,1000
567,6.74343908057485,1000
568,1.8787105298862523,1000
569,-16.5408199972018,1000
570,-27.194576656442173,1000
571,35.87522165874318,1000
572,-34.9386965596688,1000
573,-39.07508065630647,1000
574,-13.219769524705566,1000
575,-5.3894869125297005,1000
576,21.858146467549318,1000
577,16.421555502688364,1000
578,-40.71339774516441,1000
579,11.380726766896455,1000
580,24.58050531012434,1000
581,0.7283923369196583,1000
582,-17.894698068191087,1000
583,21.305835194781043,1000
584,9.721208099973074,1000
585,-18.730807929370158,1000
586,20.11699105452822,1000
587,-3.1424619826915685,1000
588,-16.954095697105465,1000
589,-1.4805765626610228,1000
590,19.184978089220166,1000
591,29.071367123128468,1000
592,23.150996620931664,1000
593,25.23110037051752,1000
594,-12.621610957797404,1000
595,28.114243870908442,1000
596,7.975441510267488,1000
597,-34.16628213494877,1000
598,-7.082306662109228,1000
599,15.594131646985609,1000
600,0.3778522000847526,1000
601,30.983573029379002,1000
602,31.557407430036225,1000
603,-7.511085725632235,1000
604,-5.912211871826931,1000
605,-30.401915873846086,1000
606,1.4531797366011012,1000
607,13.612290314098564,1000
608,-13.195928975438706,1000
609,8.807374656171604,1000
610,30.882781813582007,1000
611,-4.142665165036238,1000
612,-3.3589959333443584,1000
613,-6.994239387371291,1000
614,9.056543108508555,1000
615,-33.31294934267766,1000
616,-17.080016893823867,1000
617,-17.276908501111855,1000
618,37.77075790409929,1000
619,-16.590129807873815,1000
620,4.815321248403772,1000
621,-39.33254935464705,1000
622,42.33334282936259,1000
623,7.990332342883503,1000
624,10.719948591137161,1000
625,19.193717666717863,1000
626,-27.407891255741944,1000
627,-9.408423732256129,1000
628,-35.47191447048232,1000
629,34.97599866747949,1000
630,21.582158340386556,1000
631,6.83768077622459,1000
632,19.69727000117561,1000
633,13.475217253350813,1000
634,-2.1803512020311295,1000
635,1.8680003716212792,1000
636,-36.41316868377636,1000
637,1.1570142602260172,1000
638,-15.784939053919079,1000
639,-28.534212859923098,1000
640,-9.229786513207864,1000
641,-7.975519569291924,1000
642,36.653121287152686,1000
643,11.743872111375028,1000
644,15.301612390141804,1000
645,-18.250523151004295,1000
646,-51.28522736490609,1000
647,24.94327165203791,1000
648,-2.2079707634967316,1000
649,3.498413579879751,1000
650,-46.992097091064586,1000
651,12.52104811506293,1000
652,25.28247430760837,1000
653,-26.39026761919482,1000
654,1.8768722615105795,1000
655,-32.320853197592875,1000
656,-11.387360783385187,1000
657,-34.50665512605953,1000
658,-35.407081611427486,1000
659,26.518331347620784,1000
660,7.310281959080479,1000
661,27.23532329802057,1000
662,-8.525114220231295,1000
663,-8.385425029972017,1000
664,-3.179235571129837,1000
665,-21.107682687507264,1000
666,18.20641471895364,1000
667,22.02252754501644,1000
668,-10.363260523090167,1000
669,-18.685052498048016,1000
670,18.451740903366044,1000
671,13.283275489860515,1000
672,15.341082358327789,1000
673,9.862260385994446,1000
674,1.7550391201546822,1000
675,4.510170437068589,1000
676,1.8193465346704871,1000
677,-33.10957203722539,1000
678,-8.014562204670575,1000
679,29.008108931886202,1000
680,2.5865499811516814,1000
681,18.358010028587678,1000
682,8.150353358045944,1000
683,-44.510263976453686,1000
684,-26.56604707269229,1000
685,28.611310249608326,1000
686,-2.315093711807717,1000
687,-3.1490273932217097,1000
688,20.080847073726535,1000
689,-29.798183358706332,1000
690,28.761710974637882,1000
691,-0.44653612605892623,1000
692,16.96716314861529,1000
693,-13.250160165131433,1000
694,-3.16762957538961,1000
695,-14.562303838376325,1000
696,-6.518514934025892,1000
697,-5.535816624639714,1000
698,15.06588226098018,1000
699,-12.180828386905135,1000
700,-22.177061373398256,1000
701,35.929458209636856,1000
702,7.066915234252755,1000
703,27.516661470322404,1000
704,-24.417051200680042,1000
705,11.149602538689063,1000
706,-7.0375691699024125,1000
707,15.02861753189997,1000
708,5.901812184659747,1000
709,-33.2852198330094,1000
710,-33.70665656288537,1000
711,2.5748396653235726,1000
712,-40.723971027635834,1000
713,-40.480198334015846,1000
714,27.41606523894437,1000
715,-52.75880483017205,1000
716,-20.44336010881479,1000
717,-58.13235500119854,1000
718,-21.009642298708776,1000
719,17.720638401383148,1000
720,-36.605190020757114,1000
721,-17.921240412894925,1000
722,8.675423604096824,1000
723,18.131669938032797,1000
724,13.407376539692974,1000
725,-27.938995469960528,1000
726,-4.600074564546023,1000
727,-25.730974586024043,1000
728,-5.43103304391626,1000
729,0.5789332111379195,1000
730,4.512603875334909,1000
731,11.232768749457996,1000
732,13.839422411403834,1000
733,17.967973548300456,1000
734,-34.252892597988996,1000
735,22.396072268152498,1000
736,17.26735220301721,1000
737,-7.02305433469299,1000
738,-10.982727347873205,1000
739,-25.61316448088002,1000
740,26.868139145188625,1000
741,14.97701857127001,1000
742,-22.480179542469216,1000
743,-2.8525143596251947,1000
744,-3.7602812923567104,1000
745,8.535147538190383,1000
746,13.500855139834083,1000
747,11.369642399529063,1000
748,-22.48038306405284,1000
749,-34.96697552295774,1000
750,12.183048035474032,1000
751,-41.00244734861848,1000
752,8.038865960661399,1000
753,-12.416850250385266,1000
754,8.089111189010426,1000
755,-31.72050199331185,1000
756,-15.277907768978116,1000
757,-30.68553004902399,1000
758,-36.23767641142239,1000
759,3.1940497383991415,1000
760,1.6676451591959367,1000
761,24.44676763660775,1000
762,-10.84262920772996,1000
763,-35.054528292099555,1000
764,-9.335136537273168,1000
765,-11.199765904812008,1000
766,-38.50596522854944,1000
767,-0.8191543606925478,1000
768,15.254227846374109,1000
769,22.909951085423838,1000
770,-27.860225649738094,1000
771,-20.924402081603947,1000
772,-40.162367895376725,1000
773,0.12716106196924956,1000
774,-17.211252848527398,1000
775,6.95519573141256,1000
776,-12.03386355560859,1000
777,-12.312750399161022,1000
778,-14.431729450944438,1000
779,2.0283898873491992,1000
780,-24.43549477404638,1000
781,-28.43017093233243,1000
782,44.77525434719445,1000
783,6.496962394663658,1000
784,13.046134423778133,1000
785,2.9040387510759293,1000
786,-1.6901784785282632,1000
787,0.6469255296084064,1000
788,-6.3149452385972635,1000
789,-21.994805566388685,1000
790,9.845519766993908,1000
791,15.829742433148024,1000
792,15.60559937978387,1000
793,12.506913477338891,1000
794,-5.822839266072624,1000
795,6.099461447117626,1000
796,-53.98797083202329,1000
797,-28.459349893787753,1000
798,-32.32587264634944,1000
799,-39.871015930856636,1000
800,15.683155098474064,1000
801,-6.935870904611647,1000
802,-25.47469127056839,1000
803,0.4792233338857415,1000
804,-10.331757478687686,1000
805,-14.772651301166505,1000
806,-1.3203497898119596,1000
807,3.570646321414494,1000
808,26.68772299891387,1000
809,-13.265135373953928,1000
810,12.479641755814525,1000
811,-5.578775327652103,1000
812,1.751800711222852,1000
813,-4.162611422075209,1000
814,7.600399848887633,1000
815,-6.678497101147776,1000
816,19.231962117767473,1000
817,-17.296813435876896,1000
818,-22.274401840933532,1000
819,7.563307537958073,1000
820,3.6812010332261944,1000
821,-12.59428023169065,1000
822,-1.3108344966299892,1000
823,-54.47708067412001,1000
824,1.048864050105014,1000
825,-33.778903928190296,1000
826,-12.422146608154852,1000
827,-20.746135673965806,1000
828,23.69833055427877,1000
829,-6.764021623006912,1000
830,-13.94551887935665,1000
831,-7.820322739104127,1000
832,8.154430484573536,1000
833,-6.20629382323367,1000
834,-12.67454508515581,1000
835,3.3032035602117467,1000
836,-28.052913136203227,1000
837,-35.058092309736445,1000
838,8.568298622525164,1000
839,38.18131087101793,1000
840,-28.855662677562286,1000
841,12.377397031335299,1000
842,35.216148777022454,1000
843,-10.3756387849913,1000
844,-47.11415796931805,1000
845,-0.7884840921012566,1000
846,-7.592620412171149,1000
